case_id,method,kind,details
c012,argos_fixed_budget,NO_BID,HARD_MAX_SEARCH_CALLS
c012,argos_early_stop,NO_BID,HARD_MAX_SEARCH_CALLS
c013,v3_only,NO_BID,V3_SELECTED_POINT_NOT_QUALIFIED
c013,simulator_only_adaptive,NO_BID,HARD_MAX_SEARCH_CALLS
c014,v3_only,NO_BID,V3_SELECTED_POINT_NOT_QUALIFIED
c014,v3_fixed_probing,CONFIRMATION_FAILURE,CONFIRMATION_PARTIAL_PASS
c014,simulator_only_adaptive,NO_BID,HARD_MAX_SEARCH_CALLS
c014,argos_fixed_budget,NO_BID,HARD_MAX_SEARCH_CALLS
c014,argos_early_stop,NO_BID,HARD_MAX_SEARCH_CALLS
c015,v3_only,NO_BID,V3_SELECTED_POINT_NOT_QUALIFIED
c015,simulator_only_adaptive,NO_BID,HARD_MAX_SEARCH_CALLS
c016,v3_only,NO_BID,V3_SELECTED_POINT_NOT_QUALIFIED
c016,v3_fixed_probing,NO_BID,HARD_MAX_SEARCH_CALLS
c016,simulator_only_adaptive,NO_BID,HARD_MAX_SEARCH_CALLS
c016,argos_fixed_budget,NO_BID,HARD_MAX_SEARCH_CALLS
c016,argos_early_stop,NO_BID,HARD_MAX_SEARCH_CALLS
c017,v3_only,NO_BID,V3_SELECTED_POINT_NOT_QUALIFIED
c017,v3_fixed_probing,NO_BID,HARD_MAX_SEARCH_CALLS
c017,simulator_only_adaptive,CONFIRMATION_FAILURE,CONFIRMATION_NONE_PASS
c017,argos_fixed_budget,NO_BID,HARD_MAX_SEARCH_CALLS
c017,argos_early_stop,NO_BID,HARD_MAX_SEARCH_CALLS
c018,v3_only,NO_BID,V3_SELECTED_POINT_NOT_QUALIFIED
c018,v3_fixed_probing,NO_BID,HARD_MAX_SEARCH_CALLS
c018,simulator_only_adaptive,NO_BID,HARD_MAX_SEARCH_CALLS
c018,argos_fixed_budget,NO_BID,HARD_MAX_SEARCH_CALLS
c018,argos_early_stop,NO_BID,HARD_MAX_SEARCH_CALLS
c019,v3_only,NO_BID,V3_SELECTED_POINT_NOT_QUALIFIED
c019,simulator_only_adaptive,NO_BID,HARD_MAX_SEARCH_CALLS
c020,v3_only,NO_BID,V3_SELECTED_POINT_NOT_QUALIFIED
c020,v3_fixed_probing,NO_BID,HARD_MAX_SEARCH_CALLS
c020,simulator_only_adaptive,NO_BID,HARD_MAX_SEARCH_CALLS
c020,argos_fixed_budget,NO_BID,HARD_MAX_SEARCH_CALLS
c020,argos_early_stop,NO_BID,HARD_MAX_SEARCH_CALLS
c021,v3_only,NO_BID,V3_SELECTED_POINT_NOT_QUALIFIED
c021,v3_fixed_probing,NO_BID,HARD_MAX_SEARCH_CALLS
c021,simulator_only_adaptive,NO_BID,HARD_MAX_SEARCH_CALLS
c021,argos_fixed_budget,NO_BID,HARD_MAX_SEARCH_CALLS
c021,argos_early_stop,NO_BID,HARD_MAX_SEARCH_CALLS
c022,v3_only,NO_BID,V3_SELECTED_POINT_NOT_QUALIFIED
c022,v3_fixed_probing,NO_BID,HARD_MAX_SEARCH_CALLS
c022,simulator_only_adaptive,NO_BID,HARD_MAX_SEARCH_CALLS
c022,argos_fixed_budget,NO_BID,HARD_MAX_SEARCH_CALLS
c022,argos_early_stop,NO_BID,HARD_MAX_SEARCH_CALLS
c023,v3_only,NO_BID,V3_SELECTED_POINT_NOT_QUALIFIED
c023,simulator_only_adaptive,NO_BID,HARD_MAX_SEARCH_CALLS
c024,v3_only,NO_BID,V3_SELECTED_POINT_NOT_QUALIFIED
